Borough,NTAName,SiteName,SiteAddr,Hosted_By,Open_Month,Day_Hours,Notes,Website,BoroCD,CouncilDis,ct2010,BBL,BIN,Latitude,Longitude,PolicePrec,Object ID,Location Point
Queens,Sunnyside,45th Street Composters,"41-12 45th Street (45th St & Skillman Ave, Queens, NY 11104)",Volunteers at 45th Street Compost,Year Round,Sundays (Start Time: 10:30 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",https://linktr.ee/45thstreetcomposters,402,26,,,,40.746199,-73.919118,108,7142,POINT (-73.919118 40.746199)
Brooklyn,Bensonhurst,Bensonhurst,18th Ave btwn 81st & 82nd Streets,GrowNYC,Year Round,Sundays (Start Time: 9:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,311,38,,,,40.609644,-73.999683,62,6767,POINT (-73.999683 40.609644)
Queens,South Jamaica,Paradise Garden,"107-31 Inwood St, Queens, NY 11435",Paradise Garden,July-December,Fridays (Start Time: 12:00 PM - End Time:  3:00 PM),"Not accepted: meat, bones, or dairy",,412,28,,,,40.69056,-73.80395,103,7160,POINT (-73.80395 40.69056)
Brooklyn,Bedford-Stuyvesant (West),SE Bedford Avenue & Willoughby Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,33,,,,,,79,6896,
Brooklyn,Bedford-Stuyvesant (West),SW Tompkins Avenue & Lafayette Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,79,6883,
Brooklyn,Crown Heights (North),NW Albany Avenue & St. Johns Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,308,35,,,,,,77,6864,
Manhattan,Hamilton Heights-Sugar Hill,145th St Food Scrap Drop-off,145th St & Edgecombe Ave,GrowNYC,Year Round,Thursdays (Start Time: 7:30 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,110,9,,,,40.823692,-73.943764,30,6748,POINT (-73.943764 40.823692)
Staten Island,Arden Heights-Rossville,Arden Heights,Arden Avenue and Forest Green,Snug Harbor Youth,Year Round,Saturdays (Start Time: 1:00 PM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://snug-harbor.org/,503,51,,,,40.556014,-74.194626,123,7147,POINT (-74.194626 40.556014)
Queens,Jamaica,King Manor Museum,"150-03 Jamaica Ave, Jamaica, NY 11432",King Manor Museum,Year Round,Fridays and Saturdays (Start Time: Friday 10 AM; Saturday 9:30 - End Time:  Friday 4:00; Saturdays 2:30pm),"Not accepted: meat, bones, or dairy",https://www.kingmanor.org/,412,27,,,,40.70216,-73.80445,103,7159,POINT (-73.80445 40.70216)
Brooklyn,Sunset Park (East)-Borough Park (West),Rappaport Playground,NW corner of Fort Hamilton Pkwy and 53rd Street,NYC Compost Project Hosted by LES Ecology Center,Year Round,Tuesdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,312,43,,,,40.636583,-74.000556,66,6927,POINT (-74.000556 40.636583)
Manhattan,Harlem (North),SE West 136th Street & Edgecombe Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,110,9,,,,,,32,6795,
Bronx,Pelham Bay-Country Club-City Island,NW Parkview Avenue & Middletown Road,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,210,13,,,,,,45,7132,
Staten Island,St. George-New Brighton,St. George Greenmarket,St. Marks Pl and Hyatt St,NYC Compost Project Hosted by Snug Harbor Cultural Center & Botanical Garden,Year Round,Saturdays (Start Time: 8:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",snug-harbor.org,501,49,,,,40.641967,-74.077928,120,7170,POINT (-74.077928 40.641967)
Bronx,Mount Eden-Claremont (West),NW Sheridan Avenue & Marcy Place,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,204,16,,,,,,44,7000,
Manhattan,East Harlem (North),NE East 127th Street & Lexington Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,111,8,,,,,,25,6812,
Brooklyn,East Flatbush-Erasmus,Little Haiti Food Scrap Drop-off Site,Newkirk Ave & Nostrand Ave,GrowNYC,Year Round,Wednesdays (Start Time: 9:30 AM - End Time:  1:30 PM),"Not accepted: meat, bones, or dairy",grownyc.org/compost,317,45,,,,40.6400446,-73.9482956,67,7074,POINT (-73.9482956 40.6400446)
Queens,Astoria (Central),NE Crescent Street & 31st Road,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,401,22,,,,,,114,7059,
Brooklyn,Bedford-Stuyvesant (East),NW Malcolm X Boulevard & Gates Avenue,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,36,,,,,,81,6840,
Brooklyn,Bedford-Stuyvesant (East),NW Howard Avenue & Macdonough Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,303,41,,,,,,81,6827,
Bronx,Mott Haven-Port Morris,Padre Plaza Community Garden,"541 E 139th St, Bronx, NY 10454",Padre Plaza Community Garden,Year Round,Mondays and Wednesdays (Start Time: 12:00 PM - End Time:  5:00 PM),"Not accepted: meat, bones, or dairy",,201,8,,,,40.8079687,-73.917581,40,6988,POINT (-73.917581 40.8079687)
Manhattan,SoHo-Little Italy-Hudson Square,6th Ave & Spring St,6th Avenue & Spring Street -NE Corner,NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesdays (Start Time: 9:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,102,1,,,,40.7256282,-74.003866,1,6724,POINT (-74.003866 40.7256282)
Queens,Astoria (East)-Woodside (North),Moore-Jackson Cemetery/Garden,"51st Street between 31st and 32nd Avenue, Woodside, NY 11377",Members at Moore-Jackson Garden,Year Round,Saturdays (Start Time: 9:00 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",https://www.facebook.com/MooreJacksonNYC/,401,25,,,,40.756149,-73.907915,114,7027,POINT (-73.907915 40.756149)
Bronx,Concourse-Concourse Village,NE Gerard Avenue & East 167th Street,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,204,16,,,,,,44,6995,
Queens,Springfield Gardens (South)-Brookville,Garden of Resilience,"179-18 145th Dr, Jamaica, NY 11434",Volunteers at Garden of Resilience,Year Round,Saturdays (Start Time: 9:00 AM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",http://www.laurelton.nyc/resilience,413,31,,,,40.66392,-73.76626,105,7164,POINT (-73.76626 40.66392)
Brooklyn,Sunset Park (West),Los Colibríes Community Garden,"219 34th Street, Brooklyn 11232",Los Colibríes Community Garden,Year Round,Sundays (Start Time: 11:00 AM - End Time:  4:00 PM),"Not accepted: meat, bones, or dairy",https://www.facebook.com/jardin34/,307,38,,,,40.6547305,-74.0018481,72,6763,POINT (-74.0018481 40.6547305)
Queens,Kew Gardens,Kew Gardens Cinemas Park,"8105 Lefferts Blvd, Kew Gardens, NY 11415","Kew Gardens CSA, sponsored by Kew Gardens Cinemas",Year Round,Sundays (Start Time: 8:30 AM - End Time:  12:00 PM),"Not accepted: meat, bones, or dairy",kewgardenscsa.org,409,29,,,,40.70888,-73.82917,102,7138,POINT (-73.82917 40.70888)
Bronx,University Heights (South)-Morris Heights,*CLOSED FOR THE SEASON* Francis Martin Library,"2150 University Avenue Bronx, NY 10453",,Year Round,Monday (Start Time: 12:00 PM - End Time:  1:00 PM),"Not accepted: meat, bones, or dairy",https://www.nypl.org/locations/francis-martin,205,14,,,,40.8575626,-73.909437,46,7091,POINT (-73.909437 40.8575626)
Manhattan,West Village,Christopher Park,"West 4th Street b/w Christopher St and Grove St., west side of Christopher Park",NYC Compost Project Hosted by LES Ecology Center,Year Round,Wednesdays (Start Time: 9:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,102,3,,,,40.733536,-74.002663,6,6900,POINT (-74.002663 40.733536)
Manhattan,Manhattanville-West Harlem,NW West 126th St & Morningside Ave,,Department of Sanitation,Year Round,24/7,"Download the app to access bins. Accepts all food scraps, including meat and dairy. Do not leave food scraps outside of bin!",www.nyc.gov/smartcomposting,109,7,,,,,,26,6756,
Brooklyn,Bensonhurst,18th Avenue at 64th Street,west of 18th Avenue between 64th Street and 63rd Street,NYC Compost Project Hosted by LES Ecology Center,Year Round,Tuesdays (Start Time: 10:00 AM - End Time:  2:00 PM),"Not accepted: meat, bones, or dairy",https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,311,43,,,,40.6200069,-73.9894524,62,6768,POINT (-73.9894524 40.6200069)
